codigo;dist_centro;nome;longitude;latitude;peso;dist_cap
3523206;34,16259;Itararé;49,331667;-24,1125;5366;282
3523305;28,935457;Itariri;47,174444;-24,289167;21;99
3523404;25,320009;Itatiba;46,838889;-23,005833;2300;63
3523503;0;Itatinga;48,615833;-23,101667;6600;208
3523602;44,103218;Itirapina;47,822778;-22,252778;910;188
3523701;6,5072691;Itirapuã;47,219167;-20,640833;1263;327
3523800;61,620167;Itobi;46,975;-21,736944;2100;204
3523909;0;Itu;47,299167;-23,264167;9920;75
3524006;27,530277;Itupeva;47,057778;-23,153056;215;61
3524105;61,767555;Ituverava;47,780556;-20,339444;1400;374
3524204;21,749633;Jaborandi;48,4125;-20,688056;252;366
3524303;37,658462;Jaboticabal;48,322222;-21,254722;1500;308
3524402;52,199242;Jacareí;45,965833;-23,305278;1600;74
3524501;29,622759;Jaci;49,57;-20,882222;1780;423
3524600;0;Jacupiranga;48,002222;-24,6925;3500;188
3524709;53,119696;Jaguariúna;46,985833;-22,705556;1200;100
3524808;27,876792;Jales;50,545833;-20,268889;8826;543
3524907;28,677163;Jambeiro;45,687778;-23,253611;2200;102
3525003;49,975063;Jandira;46,9025;-23,5275;0;27
3525102;23,318508;Jardinópolis;47,763889;-21,017778;2400;303
3525201;40,414064;Jarinu;46,728333;-23,101389;149;50
3525300;37,924538;Jaú;48,557778;-22,296389;900;241
3525409;18,242229;Jeriquara;47,589167;-20,311111;483;372
3525508;27,39214;Joanópolis;46,275556;-22,930278;1820;78
3525607;43,102673;João Ramalho;50,767778;-22,250278;2037;448
3525706;0;José Bonifácio;49,688333;-21,052778;11320;419
3525805;26,185303;Júlio Mesquita;49,787222;-22,008889;400;366
3525854;24,492716;Jumirim;47,784167;-23,086667;2400;128
3525904;36,09208;Jundiaí;46,884167;-23,186389;210;47
3526001;20,53872;Junqueirópolis;51,433611;-21,514722;1600;542
3526100;18,274394;Juquiá;47,634722;-24,320833;940;133
3526209;55,606014;Juquitiba;47,068333;-23,931667;0;61
3526308;38,029757;Lagoinha;45,190278;-23,090556;8971;156
3526407;18,206845;Laranjal Paulista;47,836667;-23,049722;2150;135
3526506;7,4969887;Lavínia;51,039722;-21,168333;5960;525
