codigo,dist_centro,longitude,latitude,peso,dist_cap
3545407,"29,971523","49,985556","-22,892778",790,350
3545506,"70,036666","51,763056","-22,456111",1800,539
3545605,"49,908106","48,804167","-21,242778",830,339
3545704,"42,908749","50,727778","-20,031944",7638,575
3545803,"39,918364","47,413611","-22,753611",650,119
3546009,"53,146647","45,883889","-23,396667",862,79
3546108,"39,763508","50,926389","-20,093889",1607,586
3546207,"31,457818","47,451944","-22,140278",500,177
3546256,"13,127158","47,429722","-21,290833",260,263
3546306,"61,628388","47,248611","-21,826944",1000,201
3546405,"20,160507","49,6325","-22,898889",5496,315
3546504,"55,93354","48,390833","-21,462778",50,293
3546603,"28,52284","50,925833","-20,211111",1944,577
3546702,"62,165505","47,530278","-22,456667",30,152
3546801,"75,324383","46,221389","-23,315556",858,50
3546900,"46,60718","48,084167","-21,685",200,254
3547007,"52,155191","48,160556","-22,567222",1895,190
3547106,"19,427992","51,755278","-21,350833",960,580
3547205,"18,535786","50,797222","-20,253056",2045,564
3547304,"43,789756","46,917778","-23,444167",0,31
3547403,"31,159803","50,83","-20,143611",2427,574
3547502,"51,621831","47,478056","-21,710278",2300,221
3547601,"22,798268","47,363056","-21,472778",5515,242
3547650,"20,579548","50,688333","-20,244722",3214,556
3547700,0,"51,610278","-21,838333",20000,545
3547809,"79,18778","46,538333","-23,663889",0,16
3547908,"26,28264","47,151111","-21,086944",3650,278
3548005,"36,326359","46,919444","-22,606111",240,108
3548054,"35,007918","50,495556","-20,936667",5880,492
3548104,"25,429146","46,746667","-22,192778",550,150
3548203,"24,726103","45,6625","-22,827222",188,128
3548302,"22,553049","51,392222","-21,850556",1800,524
3548401,"67,361841","50,500278","-21,6375",170,450
3548500,"8,627598","46,333611","-23,960833",0,55
3548609,"41,628286","45,730833","-22,688889",1255,133
3548708,"82,557299","46,565","-23,693889",0,18
3548807,"74,651056","46,551111","-23,623056",0,12
3548906,"30,71514","47,890833","-22,0175",4000,213
3549003,"9,3180923","50,696667","-20,359167",2171,548
